%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2185,328465.4,45.83317551,-110.9369903,2511.4428,1,8,0.0079,0.0055,0.0133,-0.0034,0.0054,-0.0058,-4.6,691.6
2185,328465.6,45.83317909,-110.9369831,2511.5716,1,8,0.0078,0.0054,0.0131,-0.0033,0.0053,-0.0057,-4.4,687.1
2185,328465.8,45.83318273,-110.936976,2511.6967,1,8,0.0077,0.0053,0.0129,-0.0033,0.0051,-0.0056,-4.2,682
2185,328466,45.83318644,-110.936969,2511.823,1,8,0.0076,0.0052,0.0126,-0.0032,0.005,-0.0055,-4,676.3
2185,328466.2,45.83319025,-110.9369621,2511.958,1,8,0.0075,0.0051,0.0124,-0.0031,0.0049,-0.0055,-3.8,670.7
2185,328466.4,45.8331941,-110.9369553,2512.0876,1,8,0.0074,0.005,0.0122,-0.0031,0.0048,-0.0054,-3.6,663.4
2185,328466.6,45.83319795,-110.9369484,2512.2198,1,8,0.0073,0.0049,0.012,-0.003,0.0047,-0.0053,-3.4,658.5
2185,328466.8,45.83320178,-110.9369414,2512.3429,1,8,0.0072,0.0049,0.0118,-0.003,0.0046,-0.0053,-3.2,651.8
2185,328467,45.83320554,-110.9369345,2512.4648,1,8,0.0071,0.0048,0.0117,-0.0029,0.0045,-0.0052,-3,646.8
2185,328467.2,45.83320914,-110.9369273,2512.5913,1,8,0.0071,0.0047,0.0115,-0.0028,0.0044,-0.0051,-2.8,641.7
2185,328467.4,45.83321264,-110.93692,2512.7125,1,8,0.007,0.0046,0.0113,-0.0028,0.0043,-0.0051,-2.6,634.1
2185,328467.6,45.83321622,-110.9369126,2512.8388,1,8,0.0069,0.0046,0.0112,-0.0027,0.0042,-0.005,-2.4,627.7
2185,328467.8,45.83321981,-110.9369052,2512.9655,1,8,0.0068,0.0045,0.011,-0.0027,0.0041,-0.005,-2.2,621.9
2185,328468,45.83322339,-110.9368979,2513.0927,1,8,0.0068,0.0044,0.0109,-0.0027,0.004,-0.0049,-2,614.5
2185,328468.2,45.83322691,-110.9368908,2513.217,1,8,0.0067,0.0044,0.0108,-0.0026,0.004,-0.0049,-1.8,611.9
2185,328468.4,45.83323043,-110.9368836,2513.3468,1,8,0.0067,0.0043,0.0106,-0.0026,0.0039,-0.0048,-1.6,607.5
2185,328468.6,45.833234,-110.9368764,2513.4603,1,8,0.0066,0.0043,0.0105,-0.0025,0.0038,-0.0048,-1.4,601
2185,328468.8,45.83323742,-110.9368694,2513.5743,1,8,0.0066,0.0043,0.0104,-0.0025,0.0038,-0.0047,-1.2,596.2
2185,328469,45.83324036,-110.9368632,2513.6683,1,8,0.0066,0.0042,0.0104,-0.0025,0.0037,-0.0047,-1,594.5
2185,328469.2,45.83324273,-110.9368584,2513.7475,1,8,0.0065,0.0042,0.0103,-0.0025,0.0037,-0.0047,-0.8,585.8
